ipv4,#genre#
CCTV世界地理, http://over.qiyuevod.com/tmsctv/ysptv.php?id=sjdl
CCTV第一剧场, http://over.qiyuevod.com/tmsctv/ysptv.php?id=dyjc
CCTV兵器科技, http://over.qiyuevod.com/tmsctv/ysptv.php?id=bqkj
CCTV风云剧场, https://live.goodiptv.club/api/cqyx.php?id=FYJCHD
CCTV兵器科技, https://live.goodiptv.club/api/cqyx.php?id=BQKJHD
CCTV第一剧场, https://live.goodiptv.club/api/cqyx.php?id=DIYIJUCHANGHD
CCTV风云音乐, https://live.goodiptv.club/api/cqyx.php?id=FYYYHD
CCTV卫生健康, http://over.qiyuevod.com/tmsctv/ysptv.php?id=wsjk
CCTV风云剧场, http://over.qiyuevod.com/tmsctv/ysptv.php?id=fyjc
CCTV女性时尚, http://over.qiyuevod.com/tmsctv/ysptv.php?id=nxss
CCTV高尔夫网球, http://over.qiyuevod.com/tmsctv/ysptv.php?id=gefwq
CCTV风云音乐, http://over.qiyuevod.com/tmsctv/yhtv.php?id=fyyy
CCTV世界地理, http://over.qiyuevod.com/tmsctv/yhtv.php?id=sjdl
CCTV西班牙语, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cgtne
CCTV发现之旅, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=fxzl
CCTV央视台球, https://live.goodiptv.club/api/cqyx.php?id=YSTQHD
CCTV风云足球, http://over.qiyuevod.com/tmsctv/yhtv.php?id=fyzq
CCTV怀旧剧场, https://live.goodiptv.club/api/cqyx.php?id=HJJCHD
CCTV第一剧场, http://over.qiyuevod.com/tmsctv/yhtv.php?id=dyjc
CCTV法语, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cgtnf
CCTV中学生, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=zxs
CCTV风云音乐, http://over.qiyuevod.com/tmsctv/ysptv.php?id=fyyy
CCTV高尔夫网球, https://live.goodiptv.club/api/cqyx.php?id=GOLFHD
CCTV兵器科技, http://over.qiyuevod.com/tmsctv/yhtv.php?id=bqkj
CCTV央视文化精品, http://over.qiyuevod.com/tmsctv/ysptv.php?id=whjp
CCTV央视台球, http://over.qiyuevod.com/tmsctv/yhtv.php?id=ystq
CCTV央视文化精品, http://over.qiyuevod.com/tmsctv/yhtv.php?id=whjp
CCTV风云足球, https://live.goodiptv.club/api/cqyx.php?id=FYZQHD
CCTV女性时尚, http://over.qiyuevod.com/tmsctv/yhtv.php?id=nxsshd
CCTV老故事, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=lgs
CCTV俄语, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cgtnr
CCTV女性时尚, https://live.goodiptv.club/api/cqyx.php?id=NVXING
CCTV怀旧剧场, http://over.qiyuevod.com/tmsctv/ysptv.php?id=hjjc
CCTV风云足球, http://over.qiyuevod.com/tmsctv/ysptv.php?id=fyzq
CCTV高尔夫网球, http://over.qiyuevod.com/tmsctv/yhtv.php?id=gefwq
CCTV央视文化精品, https://live.goodiptv.club/api/cqyx.php?id=YSWHHD
CCTV阿拉伯语, https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cgtna
CCTV风云剧场, http://over.qiyuevod.com/tmsctv/yhtv.php?id=fyjc
CCTV央视台球, http://over.qiyuevod.com/tmsctv/ysptv.php?id=ystq
CCTV怀旧剧场, http://over.qiyuevod.com/tmsctv/yhtv.php?id=hjjc
CCTV1, http://58.19.38.162:9901/tsfile/live/1000_1.m3u8
CCTV1, http://1.199.235.116:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路210』
CCTV1, http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2569&tk=e503191f8e20
CCTV1, http://60.210.100.54:352/tsfile/live/0001_1.m3u8
CCTV1, http://115.223.11.212:6480/live2.rxip.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV1, http://123.113.189.90:8001/rtp/239.3.1.129:8008$LR•IPV4『线路436』
CCTV1, http://221.222.162.206:8888/rtp/239.3.1.129:8008
CCTV1, http://123.117.237.15:8680/udp/239.3.1.129:8008$LR•IPV4『线路410』
